,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,Fence,MoSold,SaleType,SaleCondition
0,60,RL,8450,Pave,unknown,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,PConc,4,3,1,GLQ,706,Unf,150,856,GasA,5,1,SBrkr,854,1710,1,2,1,3,1,4,Typ,0,unknown,Attchd,RFn,2,548,3,3,Y,0,61,0,0,unknown,2,WD,Normal
1,20,RL,9600,Pave,unknown,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,CBlock,4,3,4,ALQ,978,Unf,284,1262,GasA,5,1,SBrkr,0,1262,0,2,0,3,1,3,Typ,1,3,Attchd,RFn,2,460,3,3,Y,298,0,0,0,unknown,5,WD,Normal
2,60,RL,11250,Pave,unknown,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,PConc,4,3,2,GLQ,486,Unf,434,920,GasA,5,1,SBrkr,866,1786,1,2,1,3,1,4,Typ,1,3,Attchd,RFn,2,608,3,3,Y,0,42,0,0,unknown,9,WD,Normal
3,70,RL,9550,Pave,unknown,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,BrkTil,3,4,1,ALQ,216,Unf,540,756,GasA,4,1,SBrkr,756,1717,1,1,0,3,1,4,Typ,1,4,Detchd,Unf,3,642,3,3,Y,0,35,272,0,unknown,2,WD,Abnorml
4,60,RL,14260,Pave,unknown,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,PConc,4,3,3,GLQ,655,Unf,490,1145,GasA,5,1,SBrkr,1053,2198,1,2,1,4,1,4,Typ,1,3,Attchd,RFn,3,836,3,3,Y,192,84,0,0,unknown,12,WD,Normal
5,50,RL,14115,Pave,unknown,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,Wood,4,3,1,GLQ,732,Unf,64,796,GasA,5,1,SBrkr,566,1362,1,1,1,1,1,3,Typ,0,unknown,Attchd,Unf,2,480,3,3,Y,40,30,0,320,MnPrv,10,WD,Normal
6,20,RL,10084,Pave,unknown,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,PConc,5,3,3,GLQ,1369,Unf,317,1686,GasA,5,1,SBrkr,0,1694,1,2,0,3,1,4,Typ,1,4,Attchd,RFn,2,636,3,3,Y,255,57,0,0,unknown,8,WD,Normal
7,60,RL,10382,Pave,unknown,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,CBlock,4,3,2,ALQ,859,BLQ,216,1107,GasA,5,1,SBrkr,983,2090,1,2,1,3,1,3,Typ,2,3,Attchd,RFn,2,484,3,3,Y,235,204,228,0,unknown,11,WD,Normal
8,50,RM,6120,Pave,unknown,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,BrkTil,3,3,1,Unf,0,Unf,952,952,GasA,4,1,FuseF,752,1774,0,2,0,2,2,3,Min1,2,3,Detchd,Unf,2,468,2,3,Y,90,0,205,0,unknown,4,WD,Abnorml
9,190,RL,7420,Pave,unknown,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,BrkTil,3,3,1,GLQ,851,Unf,140,991,GasA,5,1,SBrkr,0,1077,1,1,0,2,2,3,Typ,2,3,Attchd,RFn,1,205,4,3,Y,0,4,0,0,unknown,1,WD,Normal
10,20,RL,11200,Pave,unknown,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,CBlock,3,3,1,Rec,906,Unf,134,1040,GasA,5,1,SBrkr,0,1040,1,1,0,3,1,3,Typ,0,unknown,Detchd,Unf,1,384,3,3,Y,0,0,0,0,unknown,2,WD,Normal
11,60,RL,11924,Pave,unknown,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,PConc,5,3,1,GLQ,998,Unf,177,1175,GasA,5,1,SBrkr,1142,2324,1,3,0,4,1,5,Typ,2,4,BuiltIn,Fin,3,736,3,3,Y,147,21,0,0,unknown,7,New,Partial
12,20,RL,12968,Pave,unknown,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,CBlock,3,3,1,ALQ,737,Unf,175,912,GasA,3,1,SBrkr,0,912,1,1,0,2,1,3,Typ,0,unknown,Detchd,Unf,1,352,3,3,Y,140,0,0,0,unknown,9,WD,Normal
13,20,RL,10652,Pave,unknown,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,PConc,4,3,3,Unf,0,Unf,1494,1494,GasA,5,1,SBrkr,0,1494,0,2,0,3,1,4,Typ,1,4,Attchd,RFn,3,840,3,3,Y,160,33,0,0,unknown,8,New,Partial
14,20,RL,10920,Pave,unknown,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,CBlock,3,3,1,BLQ,733,Unf,520,1253,GasA,3,1,SBrkr,0,1253,1,1,1,2,1,3,Typ,1,2,Attchd,RFn,1,352,3,3,Y,0,213,176,0,GdWo,5,WD,Normal
15,45,RM,6120,Pave,unknown,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,3,3,1,Unf,0,Unf,832,832,GasA,5,1,FuseA,0,854,0,1,0,2,1,3,Typ,0,unknown,Detchd,Unf,2,576,3,3,Y,48,112,0,0,GdPrv,7,WD,Normal
16,20,RL,11241,Pave,unknown,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,CBlock,3,3,1,ALQ,578,Unf,426,1004,GasA,5,1,SBrkr,0,1004,1,1,0,2,1,3,Typ,1,3,Attchd,Fin,2,480,3,3,Y,0,0,0,0,unknown,3,WD,Normal
17,90,RL,10791,Pave,unknown,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,Slab,unknown,unknown,unknown,unknown,0,unknown,0,0,GasA,3,1,SBrkr,0,1296,0,2,0,2,2,3,Typ,0,unknown,CarPort,Unf,2,516,3,3,Y,0,0,0,0,unknown,10,WD,Normal
18,20,RL,13695,Pave,unknown,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,3,3,1,GLQ,646,Unf,468,1114,GasA,5,1,SBrkr,0,1114,1,1,1,3,1,4,Typ,0,unknown,Detchd,Unf,2,576,3,3,Y,0,102,0,0,unknown,6,WD,Normal
19,20,RL,7560,Pave,unknown,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,CBlock,3,3,1,LwQ,504,Unf,525,1029,GasA,3,1,SBrkr,0,1339,0,1,0,3,1,3,Min1,0,unknown,Attchd,Unf,1,294,3,3,Y,0,0,0,0,MnPrv,5,COD,Abnorml
20,60,RL,14215,Pave,unknown,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,PConc,5,3,3,Unf,0,Unf,1158,1158,GasA,5,1,SBrkr,1218,2376,0,3,1,4,1,4,Typ,1,4,BuiltIn,RFn,3,853,3,3,Y,240,154,0,0,unknown,11,New,Partial
21,45,RM,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,PConc,3,3,1,Unf,0,Unf,637,637,GasA,5,1,FuseF,0,1108,0,1,0,3,1,4,Typ,1,4,Attchd,Unf,1,280,3,3,N,0,0,205,0,GdPrv,6,WD,Normal
22,20,RL,9742,Pave,unknown,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,PConc,4,3,1,Unf,0,Unf,1777,1777,GasA,5,1,SBrkr,0,1795,0,2,0,3,1,4,Typ,1,4,Attchd,RFn,2,534,3,3,Y,171,159,0,0,unknown,9,WD,Normal
23,120,RM,4224,Pave,unknown,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,PConc,4,3,1,GLQ,840,Unf,200,1040,GasA,3,1,SBrkr,0,1060,1,1,0,3,1,3,Typ,1,3,Attchd,Unf,2,572,3,3,Y,100,110,0,0,unknown,6,WD,Normal
24,20,RL,8246,Pave,unknown,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,CBlock,3,3,2,Rec,188,ALQ,204,1060,GasA,5,1,SBrkr,0,1060,1,1,0,3,1,4,Typ,1,3,Attchd,Unf,1,270,3,3,Y,406,90,0,0,MnPrv,5,WD,Normal
